tsne_1,tsne_2,kmeans_label
87.13103,-23.649214,5
26.635284,-89.600525,5
-28.402378,37.07926,4
79.737305,-25.047167,5
20.676218,19.463844,4
-43.234837,12.477088,5
-45.975853,-13.291746,4
20.119017,49.45752,4
-85.628784,27.656069,1
-68.33601,-41.246815,5
-77.20399,-11.431906,6
15.000671,68.33913,2
23.57714,1.6974714,4
-41.71577,16.821182,5
66.990906,-3.7801318,3
-57.450462,62.485016,1
-8.571109,-27.485153,4
50.97639,42.50602,3
-83.63594,-14.385884,6
-38.973778,-10.109611,4
-4.3199673,53.78034,4
50.05016,-30.303787,5
28.364637,-21.345963,5
-31.496077,85.763,1
26.002665,17.056067,4
-41.871635,-3.061743,4
-87.46934,23.376696,1
18.772968,-27.104904,5
64.41377,53.885403,3
-22.420462,15.53157,2
39.300602,9.214955,4
1.5822212,0.40233317,4
13.434597,39.234528,4
23.12919,-46.332077,5
19.229847,15.877087,4
-57.73922,14.914687,5
-20.646784,-1.7015008,2
7.2981997,80.20259,2
-37.31698,-33.865154,5
79.01666,35.480015,2
32.489082,10.241314,4
-86.12715,23.764406,1
-17.137493,-2.8758821,2
-44.739143,-31.467003,5
49.185802,-33.78344,5
-81.018875,14.40884,1
14.9144535,1.7241126,4
-20.439796,-38.994446,0
-56.747295,-56.704975,5
75.01114,32.533653,2
68.40348,1.9202737,3
35.91501,11.478697,4
67.09413,55.184242,3
-29.44752,35.850155,4
-6.5622215,-29.264925,4
-2.6291513,-34.476574,4
-17.940298,-16.46552,4
-22.033548,-88.62002,0
41.099014,17.423872,4
36.37778,7.019488,4
17.099928,11.602157,4
6.1435733,86.690254,2
11.3734255,11.728698,4
80.476654,3.7360878,3
-72.6412,46.297714,6
-1.7037449,-35.81117,4
3.083146,-60.81627,5
-60.809658,-45.496014,5
31.642668,-48.707405,5
-40.080845,68.49427,1
-36.337967,59.036736,1
23.227106,-21.662994,5
-24.259096,-62.768448,0
-89.83435,24.888607,1
17.430721,77.351395,2
18.96983,-38.450302,5
20.010702,-42.5203,5
-2.0324924,-37.58904,4
0.69394267,-58.670105,5
61.24468,19.538675,4
-77.492966,-2.4799714,6
-19.647064,-1.5650175,2
16.068321,45.31981,4
-88.31461,26.232897,1
-39.391926,-29.40257,5
32.19523,23.51094,4
-59.48652,-25.525023,4
-29.515854,-61.25603,0
-25.58406,30.795336,4
66.70092,17.569769,4
32.481216,-3.9521337,4
-19.086557,-5.957979,2
21.135637,1.8928635,4
73.52153,-4.718831,3
-8.361932,95.83307,4
-2.403746,-64.6573,5
43.94935,-50.1788,5
33.556667,-43.306385,5
-88.67598,29.112581,1
21.627668,45.21605,4
49.57578,44.399757,3
-7.9740276,51.731728,4
20.424143,77.21206,2
50.904186,-23.06217,5
16.971779,69.53111,2
-57.534843,62.319252,1
48.287354,45.354713,3
-13.285809,-92.23222,0
-17.707329,-95.4576,0
79.14262,33.92369,2
-61.216652,29.103685,6
5.7875795,74.19622,2
5.5340858,75.11883,2
18.982206,86.26052,2
10.789879,15.668722,4
43.025463,46.320503,3
71.14139,-5.2684608,3
63.914516,18.268646,4
-81.29948,23.25319,1
82.964935,0.28394026,3
-27.655697,-59.390877,0
-6.207861,-27.958681,4
-39.1285,-8.937839,4
20.16516,8.559783,4
-89.44375,24.573421,1
-46.377567,12.71775,5
-36.657887,-5.096516,4
-42.254375,-30.307135,5
-12.319715,27.667652,4
2.0059652,-14.148673,4
-2.4507542,4.6824613,4
18.619204,47.497684,4
21.511122,74.48619,2
52.32382,39.8637,3
-32.73091,62.87766,1
-50.18085,7.329712,5
-69.59666,-4.926371,6
43.27954,8.844194,4
17.788193,46.960075,4
69.51019,-7.138818,3
27.521448,-24.770409,5
98.52782,22.389439,4
43.371754,68.50095,3
-22.880411,-12.186847,4
-5.4977612,-26.72013,4
20.440187,82.92556,2
26.977463,-81.04236,5
23.842802,-69.698845,5
-2.9445105,-37.650295,4
67.43015,55.025578,3
40.529823,-39.19292,5
23.02257,-70.024025,5
80.115166,-31.175999,5
-55.671513,61.90379,1
-26.89908,-18.503115,4
-38.604248,59.886433,1
88.47484,-22.489574,5
-39.60832,67.074234,1
-32.26621,86.588425,1
-38.77155,-43.862698,5
-14.169175,-86.69975,0
37.996773,15.494969,4
-19.436123,72.62111,1
24.675344,-69.21235,5
-0.13619246,-71.288216,5
-11.177224,-47.31027,0
69.7964,4.36941,3
1.5170224,1.6572844,4
-18.391735,-95.969475,0
-24.315128,-16.21889,4
-84.82054,27.099155,1
39.84683,-25.614374,5
42.800987,40.520706,3
78.68364,34.95519,2
46.389248,67.478806,3
22.485107,-27.509386,5
48.194378,66.39704,3
-47.38943,-9.8256235,4
-9.9071865,98.10151,4
-4.78349,-32.399403,4
8.172878,70.4452,2
21.625381,46.17618,4
31.619167,9.406373,4
-35.93863,-5.8470497,4
21.322472,-40.706867,5
-72.43977,-3.1941407,6
-20.372494,-38.920406,0
-21.187407,-87.288124,0
-37.840622,65.5222,1
81.23113,-28.07819,5
-43.234432,-33.521553,5
-24.611431,-12.199046,4
-24.139744,-19.180115,4
30.332254,-42.19252,5
-76.08625,-2.2860177,6
-40.621693,-39.81044,5
-58.34373,-18.668924,4
-77.93892,-2.9201908,6
-44.838882,-74.82808,0
-40.221264,-9.607392,4
13.799108,70.11191,2
66.51758,16.878597,4
19.293148,37.936428,4
40.521946,-39.236885,5
-10.74196,97.11126,4
-19.594791,-33.812836,0
-25.697168,-87.51784,0
9.574281,34.271904,4
-0.89554596,27.066294,4
-8.140218,52.28277,4
79.46059,-31.840397,5
-28.90685,-63.36345,0
17.964045,-31.86205,5
24.434746,-86.69906,5
-34.589718,-42.62628,5
-13.017127,23.186148,4
49.89148,-48.418312,5
27.460323,-72.81139,5
-68.69632,-36.89579,5
38.73431,-32.746643,5
50.67977,-43.370243,5
-63.73806,34.922756,6
43.324127,4.3802853,4
-27.031958,46.32004,2
20.440432,-85.109055,5
-29.734837,-28.684036,5
13.535538,-33.62409,5
48.428165,-25.983137,5
43.359283,2.379304,4
6.9490595,-15.426755,4
-22.537445,49.912918,2
-20.277077,11.001729,2
-83.41852,-8.891765,6
-63.624313,-50.356983,5
24.411842,1.4487894,4
1.8357555,-15.807326,4
40.326233,17.205744,4
46.22295,41.250065,3
-22.834854,48.4978,2
51.326736,-26.384735,5
42.092625,12.700788,4
-11.826312,23.591509,4
-57.673088,7.4426575,5
-37.829994,67.24259,1
-7.344984,64.115616,4
78.427895,34.10334,2
-2.5323825,14.69837,2
68.83208,-0.6736496,3
-31.620737,40.121105,4
-6.6099563,-3.8274794,2
0.21707398,-72.040764,5
-13.753621,94.8505,4
-81.16965,-15.991121,6
31.993637,-19.483349,5
26.676899,-89.58908,5
-27.520311,-18.292473,4
-41.774456,13.7895565,5
31.923866,55.644123,3
-82.229324,-8.6715355,6
-42.372574,-7.491654,4
52.13859,-22.474451,5
-29.791027,40.51936,4
17.873463,7.903426,4
-15.218317,27.202946,4
24.341888,1.2892706,4
24.83011,-70.73838,5
-37.995373,-29.04321,5
31.257992,-48.074074,5
-31.53532,40.670647,4
