umap_1,umap_2,kmeans_label
1.8236874,10.775104,2
5.4384584,6.0081515,4
9.965316,-8.737576,3
13.607124,16.862354,3
-10.45111,2.828275,4
11.447222,-3.3350623,1
14.525979,15.800027,3
-5.9323983,-11.951514,0
5.9094925,23.940191,4
6.9779496,17.46305,4
6.5290356,5.613225,4
11.133157,-4.260965,1
-4.48378,6.0462513,5
7.4041147,17.559076,4
-9.081599,8.082906,5
9.138211,15.388836,4
19.587677,-0.46332264,4
21.499603,5.514405,4
16.50838,10.500528,4
2.3764882,9.966419,2
11.016159,-8.21257,3
-0.838914,3.3020353,1
-4.864583,5.893485,5
-5.2290163,-3.113716,6
8.035822,6.377691,4
16.755632,10.42353,4
13.660394,17.089596,3
5.236392,-0.48613724,5
2.3359673,4.53133,4
6.867676,-10.424375,3
-8.690286,12.285354,4
5.7095823,24.045809,4
2.1217518,10.863443,2
18.289623,-5.768462,5
19.486727,-4.922458,5
6.9067373,24.153584,4
-12.355393,14.190091,3
6.218527,4.1496387,5
19.474485,-4.9567423,5
13.612302,4.2241764,5
17.79746,6.2382574,1
-9.048413,12.904439,4
-0.8709283,2.4473636,1
14.674669,4.8064504,5
-1.5355103,2.752131,1
-10.698645,21.263151,1
-7.671005,8.533532,5
-6.3196187,-7.1041927,0
6.6530733,6.7358418,4
-1.8914467,7.4033833,1
19.561598,-4.9320393,5
3.8695881,24.113361,5
-12.300022,-2.4874842,0
13.140147,16.027649,3
21.823442,6.041946,4
-5.7989016,-7.953833,0
-8.803938,12.666942,4
11.162728,-3.9689949,1
4.656195,0.15790308,5
10.621432,-8.994626,3
-12.724007,1.6922476,2
6.856852,-10.098511,3
5.869268,-0.87467176,5
6.851988,-9.910849,3
6.3481984,18.010637,4
-8.049924,18.039345,4
6.3338647,24.050678,4
1.534582,9.187795,2
16.481552,10.780734,4
6.8809924,5.984444,4
7.446912,17.478296,4
5.903078,-1.5325516,5
-4.912442,-2.993123,6
2.2898128,-10.174311,0
-6.6811786,-7.5865927,0
-1.4166654,2.8711033,1
13.755992,4.55069,5
-8.80732,8.281462,5
